id_voto;dpi_ciudadano;mesa_id;fecha_hora
1;1979280000000;29;2023-06-25 09:54
2;3144520000000;30;2023-06-25 13:08
3;8728090000000;61;2023-06-25 18:45
4;7160010000000;5;2023-06-25 15:25
5;8377100000000;66;2023-06-25 11:38
6;7730280000000;56;2023-06-25 08:18
7;5914960000000;100;2023-06-25 18:08
8;7663950000000;34;2023-06-25 16:40
9;7172070000000;73;2023-06-25 08:58
10;5486730000000;39;2023-06-25 14:44
11;6630990000000;75;2023-06-25 19:43
12;3715870000000;17;2023-06-25 06:42
13;3617460000000;61;2023-06-25 10:09
14;3344000000000;42;2023-06-25 13:28
15;8718000000000;54;2023-06-25 11:47
16;9422670000000;10;2023-06-25 13:37
17;4461930000000;77;2023-06-25 08:43
18;2972220000000;24;2023-06-25 18:22
19;6367060000000;67;2023-06-25 09:35
20;2656600000000;78;2023-06-25 06:47
21;5711940000000;60;2023-06-25 05:47
22;6283100000000;25;2023-06-25 15:11
23;6406860000000;4;2023-06-25 06:36
24;7402190000000;50;2023-06-25 09:10
25;4909580000000;47;2023-06-25 15:58
26;8073390000000;86;2023-06-25 05:47
27;6621920000000;5;2023-06-25 18:13
28;8860720000000;18;2023-06-25 17:20
29;1614110000000;70;2023-06-25 17:04
30;2865310000000;100;2023-06-25 06:46
31;1454200000000;29;2023-06-25 07:02
32;9080950000000;95;2023-06-25 19:48
33;9715550000000;59;2023-06-25 14:10
34;1105130000000;60;2023-06-25 14:58
35;7246820000000;55;2023-06-25 09:11
36;9073500000000;33;2023-06-25 15:43
37;1896660000000;61;2023-06-25 18:30
38;9456840000000;6;2023-06-25 12:56
39;4912660000000;40;2023-06-25 11:00
40;7576090000000;14;2023-06-25 09:12
41;6023780000000;48;2023-06-25 17:07
42;5741440000000;26;2023-06-25 19:52
43;7362960000000;31;2023-06-25 19:40
44;5789960000000;73;2023-06-25 14:14
45;8396580000000;72;2023-06-25 13:40
46;8143780000000;100;2023-06-25 05:42
47;1439430000000;85;2023-06-25 13:15
48;5145820000000;37;2023-06-25 18:26
49;2767850000000;66;2023-06-25 15:46
50;7016220000000;50;2023-06-25 19:33
51;3863720000000;31;2023-06-25 12:35
52;5146910000000;69;2023-06-25 13:01
53;7402910000000;71;2023-06-25 12:56
54;2668280000000;95;2023-06-25 10:41
55;8774650000000;41;2023-06-25 11:59
56;1167000000000;21;2023-06-25 10:08
57;3408210000000;67;2023-06-25 10:31
58;3229170000000;8;2023-06-25 15:22
59;1609260000000;40;2023-06-25 06:35
60;4611540000000;47;2023-06-25 17:11
61;1476790000000;43;2023-06-25 13:53
62;5048760000000;37;2023-06-25 19:36
63;4810400000000;87;2023-06-25 13:43
64;9145870000000;97;2023-06-25 13:14
65;1298330000000;43;2023-06-25 14:22
66;2450200000000;3;2023-06-25 17:23
67;7699510000000;62;2023-06-25 05:46
68;9546180000000;85;2023-06-25 05:42
69;5908200000000;5;2023-06-25 19:28
70;2270860000000;97;2023-06-25 14:52
71;1909480000000;90;2023-06-25 09:18
72;1294620000000;48;2023-06-25 05:41
73;3680640000000;32;2023-06-25 09:46
74;8466010000000;68;2023-06-25 09:41
75;6260700000000;98;2023-06-25 16:37
76;6731050000000;65;2023-06-25 08:12
77;4091470000000;76;2023-06-25 14:21
78;9049580000000;71;2023-06-25 16:39
79;5019840000000;72;2023-06-25 17:41
80;9086240000000;80;2023-06-25 07:34
81;3071250000000;34;2023-06-25 05:17
82;4282250000000;88;2023-06-25 10:26
83;4187980000000;20;2023-06-25 15:04
84;7080930000000;58;2023-06-25 05:42
